ZCTA5_x,ZCTA5_y,visitor_flows
53515,53508,16
53515,53515,482
53515,53516,4
53515,53517,25
53515,53523,6
53515,53527,9
53515,53528,292
53515,53529,200
53515,53531,6
53515,53532,33
53515,53534,6
53515,53544,4
53515,53555,65
53515,53558,29
53515,53559,6
53515,53560,344
53515,53562,336
53515,53571,17
53515,53572,146
53515,53574,4
53515,53575,40
53515,53583,344
53515,53589,23
53515,53590,42
53515,53593,377
53515,53597,206
53515,53598,25
53515,53703,16
53515,53704,62
53515,53705,139
53515,53706,39
53515,53711,202
53515,53713,39
53515,53714,20
53515,53715,51
53515,53716,45
53515,53717,291
53515,53718,45
53515,53719,436
53515,53726,19
53515,53792,19
53515,53911,17
53527,53508,4
53527,53523,4
53527,53527,49
53527,53529,21
53527,53531,68
53527,53532,204
53527,53534,4
53527,53555,17
53527,53558,37
53527,53559,64
53527,53562,8
53527,53571,17
53527,53575,8
53527,53589,20
53527,53590,730
53527,53593,12
53527,53594,48
53527,53597,29
53527,53598,176
53527,53703,24
53527,53704,427
53527,53705,53
53527,53706,20
53527,53711,79
53527,53713,23
53527,53714,192
53527,53715,28
53527,53716,78
53527,53717,8
53527,53718,247
53527,53719,32
53527,53726,12
53527,53792,8
53527,53911,17
53527,53925,60
53528,53508,4
53528,53515,102
53528,53516,4
53528,53517,4
53528,53528,146
53528,53529,120
53528,53532,8
53528,53544,4
53528,53555,48
53528,53558,25
53528,53560,68
53528,53562,141
53528,53571,4
53528,53572,109
53528,53574,4
53528,53575,28
53528,53583,68
53528,53589,13
53528,53590,4
53528,53593,177
53528,53597,104
53528,53598,4
53528,53704,12
53528,53705,51
53528,53706,20
53528,53711,68
53528,53713,8
53528,53714,8
53528,53715,28
53528,53716,12
53528,53717,119
53528,53718,12
53528,53719,155
53528,53726,11
53528,53792,11
53528,53911,4
53529,53508,4
53529,53515,102
53529,53516,4
53529,53517,4
53529,53528,146
53529,53529,120
53529,53532,8
53529,53544,4
53529,53555,48
53529,53558,25
53529,53560,68
53529,53562,141
53529,53571,4
53529,53572,109
53529,53574,4
53529,53575,28
53529,53583,68
53529,53589,13
53529,53590,4
53529,53593,177
53529,53597,104
53529,53598,4
53529,53704,12
53529,53705,51
53529,53706,20
53529,53711,68
53529,53713,8
53529,53714,8
53529,53715,28
53529,53716,12
53529,53717,119
53529,53718,12
53529,53719,155
53529,53726,11
53529,53792,11
53529,53911,4
53531,53508,4
53531,53523,4
53531,53527,49
53531,53529,21
53531,53531,68
53531,53532,204
53531,53534,4
53531,53555,17
53531,53558,37
53531,53559,64
53531,53562,8
53531,53571,17
53531,53575,8
53531,53589,20
53531,53590,730
53531,53593,12
53531,53594,48
53531,53597,29
53531,53598,176
53531,53703,24
53531,53704,427
53531,53705,53
53531,53706,20
53531,53711,79
53531,53713,23
53531,53714,192
53531,53715,28
53531,53716,78
53531,53717,8
53531,53718,247
53531,53719,32
53531,53726,12
53531,53792,8
53531,53911,17
53531,53925,60
53532,53508,4
53532,53523,4
53532,53527,49
53532,53529,21
53532,53531,68
53532,53532,204
53532,53534,4
53532,53555,17
53532,53558,37
53532,53559,64
53532,53562,8
53532,53571,17
53532,53575,8
53532,53589,20
53532,53590,730
53532,53593,12
53532,53594,48
53532,53597,29
53532,53598,176
53532,53703,24
53532,53704,427
53532,53705,53
53532,53706,20
53532,53711,79
53532,53713,23
53532,53714,192
53532,53715,28
53532,53716,78
53532,53717,8
53532,53718,247
53532,53719,32
53532,53726,12
53532,53792,8
53532,53911,17
53532,53925,60
53555,53508,4
53555,53515,102
53555,53516,4
53555,53517,4
53555,53528,146
53555,53529,120
53555,53532,8
53555,53544,4
53555,53555,48
53555,53558,25
53555,53560,68
53555,53562,141
53555,53571,4
53555,53572,109
53555,53574,4
53555,53575,28
53555,53583,68
53555,53589,13
53555,53590,4
53555,53593,177
53555,53597,104
53555,53598,4
53555,53704,12
53555,53705,51
53555,53706,20
53555,53711,68
53555,53713,8
53555,53714,8
53555,53715,28
53555,53716,12
53555,53717,119
53555,53718,12
53555,53719,155
53555,53726,11
53555,53792,11
53555,53911,4
53559,53508,4
53559,53523,4
53559,53527,49
53559,53529,21
53559,53531,68
53559,53532,204
53559,53534,4
53559,53555,17
53559,53558,37
53559,53559,64
53559,53562,8
53559,53571,17
53559,53575,8
53559,53589,20
53559,53590,730
53559,53593,12
53559,53594,48
53559,53597,29
53559,53598,176
53559,53703,24
53559,53704,427
53559,53705,53
53559,53706,20
53559,53711,79
53559,53713,23
53559,53714,192
53559,53715,28
53559,53716,78
53559,53717,8
53559,53718,247
53559,53719,32
53559,53726,12
53559,53792,8
53559,53911,17
53559,53925,60
53560,53508,16
53560,53515,482
53560,53516,4
53560,53517,25
53560,53523,6
53560,53527,9
53560,53528,292
53560,53529,200
53560,53531,6
53560,53532,33
53560,53534,6
53560,53544,4
53560,53555,65
53560,53558,29
53560,53559,6
53560,53560,344
53560,53562,336
53560,53571,17
53560,53572,146
53560,53574,4
53560,53575,40
53560,53583,344
53560,53589,23
53560,53590,42
53560,53593,377
53560,53597,206
53560,53598,25
53560,53703,16
53560,53704,62
53560,53705,139
53560,53706,39
53560,53711,202
53560,53713,39
53560,53714,20
53560,53715,51
53560,53716,45
53560,53717,291
53560,53718,45
53560,53719,436
53560,53726,19
53560,53792,19
53560,53911,17
53572,53508,4
53572,53515,102
53572,53516,4
53572,53517,4
53572,53528,146
53572,53529,120
53572,53532,8
53572,53544,4
53572,53555,48
53572,53558,25
53572,53560,68
53572,53562,141
53572,53571,4
53572,53572,109
53572,53574,4
53572,53575,28
53572,53583,68
53572,53589,13
53572,53590,4
53572,53593,177
53572,53597,104
53572,53598,4
53572,53704,12
53572,53705,51
53572,53706,20
53572,53711,68
53572,53713,8
53572,53714,8
53572,53715,28
53572,53716,12
53572,53717,119
53572,53718,12
53572,53719,155
53572,53726,11
53572,53792,11
53572,53911,4
53583,53508,16
53583,53515,482
53583,53516,4
53583,53517,25
53583,53523,6
53583,53527,9
53583,53528,292
53583,53529,200
53583,53531,6
53583,53532,33
53583,53534,6
53583,53544,4
53583,53555,65
53583,53558,29
53583,53559,6
53583,53560,344
53583,53562,336
53583,53571,17
53583,53572,146
53583,53574,4
53583,53575,40
53583,53583,344
53583,53589,23
53583,53590,42
53583,53593,377
53583,53597,206
53583,53598,25
53583,53703,16
53583,53704,62
53583,53705,139
53583,53706,39
53583,53711,202
53583,53713,39
53583,53714,20
53583,53715,51
53583,53716,45
53583,53717,291
53583,53718,45
53583,53719,436
53583,53726,19
53583,53792,19
53583,53911,17
53590,53508,4
53590,53523,4
53590,53527,49
53590,53529,21
53590,53531,68
53590,53532,204
53590,53534,4
53590,53555,17
53590,53558,37
53590,53559,64
53590,53562,8
53590,53571,17
53590,53575,8
53590,53589,20
53590,53590,730
53590,53593,12
53590,53594,48
53590,53597,29
53590,53598,176
53590,53703,24
53590,53704,427
53590,53705,53
53590,53706,20
53590,53711,79
53590,53713,23
53590,53714,192
53590,53715,28
53590,53716,78
53590,53717,8
53590,53718,247
53590,53719,32
53590,53726,12
53590,53792,8
53590,53911,17
53590,53925,60
53593,53508,285
53593,53515,115
53593,53516,20
53593,53517,25
53593,53523,5
53593,53527,4
53593,53528,283
53593,53529,278
53593,53531,13
53593,53532,69
53593,53534,5
53593,53544,20
53593,53555,56
53593,53558,57
53593,53559,13
53593,53560,76
53593,53562,412
53593,53571,8
53593,53572,146
53593,53574,20
53593,53575,329
53593,53583,76
53593,53589,34
53593,53590,80
53593,53593,1474
53593,53594,4
53593,53597,283
53593,53598,36
53593,53703,45
53593,53704,103
53593,53705,332
53593,53706,65
53593,53711,739
53593,53713,135
53593,53714,24
53593,53715,93
53593,53716,52
53593,53717,435
53593,53718,72
53593,53719,1336
53593,53726,44
53593,53792,32
53593,53911,8
53593,53925,8
53703,53508,8
53703,53521,4
53703,53523,12
53703,53527,8
53703,53528,9
53703,53529,9
53703,53531,20
53703,53532,28
53703,53534,12
53703,53558,8
53703,53559,16
53703,53562,38
53703,53572,4
53703,53575,16
53703,53589,24
53703,53590,32
53703,53593,25
53703,53597,17
53703,53598,20
53703,53703,1348
53703,53704,589
53703,53705,303
53703,53706,1555
53703,53711,844
53703,53713,91
53703,53714,268
53703,53715,1436
53703,53716,36
53703,53717,128
53703,53718,32
53703,53719,152
53703,53726,90
53703,53792,55
53703,53925,4
53704,53508,8
53704,53521,4
53704,53523,4
53704,53527,8
53704,53531,12
53704,53532,16
53704,53534,4
53704,53558,4
53704,53559,8
53704,53562,9
53704,53572,4
53704,53575,16
53704,53589,16
53704,53590,24
53704,53593,8
53704,53597,8
53704,53598,12
53704,53703,215
53704,53704,442
53704,53705,62
53704,53706,38
53704,53711,104
53704,53713,52
53704,53714,183
53704,53715,76
53704,53716,24
53704,53717,47
53704,53718,20
53704,53719,67
53704,53726,29
53704,53792,17
53704,53925,4
53711,53508,177
