ZCTA5_x,ZCTA5_y,visitor_flows_x
53508,53508,105
53508,53515,1
53508,53516,1
53508,53517,3
53508,53521,4
53508,53523,0
53508,53527,2
53508,53528,3
53508,53529,0
53508,53531,1
53508,53532,0
53508,53534,0
53508,53544,0
53508,53555,0
53508,53558,0
53508,53559,6
53508,53560,0
53508,53562,11
53508,53571,0
53508,53572,94
53508,53574,1
53508,53575,21
53508,53583,0
53508,53589,1
53508,53590,5
53508,53593,103
53508,53594,0
53508,53597,2
53508,53598,0
53508,53703,5
53508,53704,24
53508,53705,38
53508,53706,2
53508,53711,55
53508,53713,27
53508,53714,0
53508,53715,15
53508,53716,9
53508,53717,9
53508,53718,1
53508,53719,100
53508,53726,2
53508,53792,0
53508,53911,0
53508,53925,0
53515,53508,0
53515,53515,34
53515,53516,0
53515,53517,3
53515,53521,0
53515,53523,0
53515,53527,3
53515,53528,33
53515,53529,0
53515,53531,1
53515,53532,1
53515,53534,0
53515,53544,0
53515,53555,0
53515,53558,1
53515,53559,0
53515,53560,63
53515,53562,45
53515,53571,0
53515,53572,43
53515,53574,0
53515,53575,1
53515,53583,1
53515,53589,0
53515,53590,6
53515,53593,27
53515,53597,6
53515,53598,1
53515,53703,4
53515,53704,11
53515,53705,16
53515,53706,0
53515,53711,30
53515,53713,9
53515,53714,0
53515,53715,8
53515,53716,11
53515,53717,29
53515,53718,0
53515,53719,52
53515,53726,0
53515,53792,0
53515,53911,0
53516,53508,1
53516,53515,0
53516,53516,0
53516,53517,0
53516,53521,0
53516,53523,0
53516,53527,0
53516,53528,0
53516,53529,0
53516,53531,0
53516,53532,0
53516,53534,0
53516,53544,0
53516,53558,0
53516,53559,0
53516,53562,0
53516,53572,0
53516,53574,0
53516,53575,0
53516,53589,0
53516,53590,0
53516,53593,0
53516,53594,0
53516,53597,0
53516,53598,0
53516,53703,0
53516,53704,0
53516,53705,0
53516,53706,0
53516,53711,0
53516,53713,0
53516,53714,0
53516,53715,0
53516,53716,0
53516,53717,0
53516,53718,0
53516,53719,0
53516,53726,0
53516,53792,0
53516,53925,0
53517,53508,0
53517,53515,3
53517,53516,0
53517,53517,3
53517,53521,0
53517,53523,0
53517,53527,0
53517,53528,4
53517,53529,0
53517,53531,1
53517,53532,0
53517,53534,0
53517,53544,0
53517,53555,0
53517,53558,0
53517,53559,0
53517,53560,3
53517,53562,16
53517,53571,0
53517,53572,126
53517,53574,0
53517,53575,7
53517,53583,0
53517,53589,4
53517,53590,0
53517,53593,49
53517,53594,0
53517,53597,1
53517,53598,0
53517,53703,3
53517,53704,2
53517,53705,15
53517,53706,1
53517,53711,17
53517,53713,10
53517,53714,0
53517,53715,7
53517,53716,6
53517,53717,15
53517,53718,1
53517,53719,45
53517,53726,0
53517,53792,0
53517,53911,0
53517,53925,0
53521,53508,8
53521,53515,0
53521,53516,0
53521,53517,0
53521,53521,16
53521,53528,0
53521,53529,0
53521,53531,0
53521,53532,1
53521,53544,0
53521,53555,0
53521,53558,4
53521,53559,3
53521,53562,11
53521,53571,0
53521,53572,3
53521,53574,0
53521,53575,192
53521,53589,80
53521,53590,10
53521,53593,24
53521,53594,0
53521,53597,1
53521,53598,0
53521,53703,11
53521,53704,12
53521,53705,35
53521,53706,3
53521,53711,58
53521,53713,38
53521,53714,4
53521,53715,18
53521,53716,13
53521,53717,7
53521,53718,7
53521,53719,42
53521,53726,1
53521,53792,0
53521,53911,0
53521,53925,0
53523,53508,0
53523,53515,0
53523,53516,0
53523,53517,0
53523,53521,2
53523,53523,67
53523,53527,45
53523,53528,0
53523,53529,0
53523,53531,106
53523,53532,5
53523,53534,3
53523,53544,0
53523,53555,0
53523,53558,10
53523,53559,17
53523,53560,0
53523,53562,6
53523,53571,0
53523,53572,0
53523,53574,0
53523,53575,4
53523,53583,0
53523,53589,21
53523,53590,44
53523,53593,7
53523,53594,0
53523,53597,3
53523,53598,0
53523,53703,11
53523,53704,101
53523,53705,16
53523,53706,3
53523,53711,13
53523,53713,17
53523,53714,22
53523,53715,17
53523,53716,27
53523,53717,5
53523,53718,41
53523,53719,18
53523,53726,0
53523,53792,0
53523,53911,0
53523,53925,0
53527,53508,2
53527,53515,0
53527,53516,0
53527,53517,0
53527,53521,4
53527,53523,12
53527,53527,847
53527,53528,8
53527,53529,1
53527,53531,21
53527,53532,39
53527,53534,1
53527,53544,0
53527,53555,0
53527,53558,93
53527,53559,6
53527,53560,1
53527,53562,79
53527,53571,0
53527,53572,0
53527,53574,0
53527,53575,40
53527,53583,0
53527,53589,126
53527,53590,512
53527,53593,74
53527,53594,0
53527,53597,44
53527,53598,2
53527,53703,104
53527,53704,714
53527,53705,136
53527,53706,44
53527,53711,104
53527,53713,127
53527,53714,204
53527,53715,82
53527,53716,468
53527,53717,19
53527,53718,367
53527,53719,58
53527,53726,2
53527,53792,0
53527,53911,0
53527,53925,0
53528,53508,0
53528,53515,9
53528,53516,0
53528,53517,10
53528,53521,1
53528,53523,5
53528,53527,0
53528,53528,328
53528,53529,1
53528,53531,8
53528,53532,11
53528,53534,0
53528,53544,0
53528,53555,0
53528,53558,5
53528,53559,0
53528,53560,16
53528,53562,409
53528,53571,0
53528,53572,35
53528,53574,0
53528,53575,8
53528,53583,8
53528,53589,0
53528,53590,7
53528,53593,117
53528,53597,22
53528,53598,1
53528,53703,36
53528,53704,16
53528,53705,129
53528,53706,16
53528,53711,87
53528,53713,29
53528,53714,1
53528,53715,50
53528,53716,0
53528,53717,108
53528,53718,2
53528,53719,155
53528,53726,3
53528,53792,0
53528,53911,0
53529,53508,0
53529,53515,0
53529,53516,0
53529,53517,0
53529,53521,0
53529,53523,0
53529,53527,2
53529,53528,0
53529,53529,16
53529,53531,0
53529,53532,161
53529,53534,0
53529,53544,0
53529,53555,4
53529,53558,1
53529,53559,1
53529,53560,0
53529,53562,25
53529,53571,2
53529,53572,1
53529,53574,0
53529,53575,0
53529,53583,0
53529,53589,4
53529,53590,136
53529,53593,9
53529,53594,0
53529,53597,99
53529,53598,23
53529,53703,11
53529,53704,115
53529,53705,30
53529,53706,1
53529,53711,17
53529,53713,20
53529,53714,14
53529,53715,11
53529,53716,11
53529,53717,12
53529,53718,41
53529,53719,16
53529,53726,1
53529,53792,0
53529,53911,0
53529,53925,0
53531,53508,1
53531,53515,0
53531,53516,0
53531,53517,0
53531,53521,3
53531,53523,106
53531,53527,77
53531,53528,0
53531,53529,0
53531,53531,168
53531,53532,10
53531,53534,5
53531,53544,0
53531,53555,0
53531,53558,19
53531,53559,28
53531,53560,1
53531,53562,10
53531,53571,0
53531,53572,0
53531,53574,0
53531,53575,9
53531,53583,0
53531,53589,46
53531,53590,82
53531,53593,13
53531,53594,0
53531,53597,5
53531,53598,0
53531,53703,20
53531,53704,176
53531,53705,28
53531,53706,5
53531,53711,24
53531,53713,31
53531,53714,37
53531,53715,26
53531,53716,50
53531,53717,9
53531,53718,71
53531,53719,30
53531,53726,0
53531,53792,0
53531,53911,0
53531,53925,0
53532,53508,0
53532,53515,1
53532,53516,0
53532,53517,0
53532,53521,0
53532,53523,4
53532,53527,8
53532,53528,6
53532,53529,104
53532,53531,7
53532,53532,1678
53532,53534,0
53532,53544,0
53532,53555,26
53532,53558,6
53532,53559,8
53532,53560,2
53532,53562,84
53532,53571,16
53532,53572,0
53532,53574,0
53532,53575,18
53532,53583,0
53532,53589,9
53532,53590,911
53532,53593,38
53532,53594,0
53532,53597,298
53532,53598,152
53532,53703,125
53532,53704,903
53532,53705,145
53532,53706,25
53532,53711,104
53532,53713,88
53532,53714,139
53532,53715,88
53532,53716,67
53532,53717,33
53532,53718,270
53532,53719,67
53532,53726,8
53532,53792,0
53532,53911,0
53532,53925,0
53534,53508,0
53534,53515,0
53534,53516,0
53534,53517,0
53534,53521,6
53534,53523,10
53534,53527,8
53534,53528,0
53534,53529,0
53534,53531,16
53534,53532,0
53534,53534,19
53534,53544,0
53534,53555,0
53534,53558,7
53534,53559,0
53534,53560,0
53534,53562,14
53534,53571,0
53534,53572,0
53534,53574,0
53534,53575,16
53534,53583,0
53534,53589,125
53534,53590,6
53534,53593,7
53534,53594,0
53534,53597,3
53534,53598,0
53534,53703,6
53534,53704,26
53534,53705,14
53534,53706,6
53534,53711,7
53534,53713,6
53534,53714,4
53534,53715,7
53534,53716,9
53534,53717,11
53534,53718,9
53534,53719,17
53534,53726,0
53534,53792,0
53534,53911,0
53534,53925,0
53544,53508,0
53544,53515,0
53544,53516,0
53544,53517,0
