FID,ZCTA5CE10,ALAND10,AWATER10
0,53792,54498.000000000000000,0.000000000000000
1,53583,197458833.000000000000000,9421762.000000000000000
2,53911,92481870.000000000000000,819539.000000000000000
3,53571,1059152.000000000000000,0.000000000000000
4,53715,3133139.000000000000000,503.000000000000000
5,53598,8919409.000000000000000,88938.000000000000000
6,53703,4713533.000000000000000,76610.000000000000000
7,53706,1368130.000000000000000,3186.000000000000000
8,53572,269541197.000000000000000,51217.000000000000000
9,53593,186244563.000000000000000,592714.000000000000000
10,53521,158652656.000000000000000,431381.000000000000000
11,53925,325167600.000000000000000,1938820.000000000000000
12,53528,121060524.000000000000000,911419.000000000000000
13,53590,173000937.000000000000000,804266.000000000000000
14,53711,66077765.000000000000000,8985490.000000000000000
15,53559,164852728.000000000000000,1711036.000000000000000
16,53575,141537298.000000000000000,1387168.000000000000000
17,53555,206488661.000000000000000,17807584.000000000000000
18,53523,125571603.000000000000000,3173887.000000000000000
19,53726,1288408.000000000000000,0.000000000000000
20,53960,234193603.000000000000000,5164253.000000000000000
21,53534,210562463.000000000000000,8084188.000000000000000
22,53515,96072033.000000000000000,144678.000000000000000
23,53503,146315768.000000000000000,3920206.000000000000000
24,53507,163014380.000000000000000,63154.000000000000000
25,53532,140144262.000000000000000,811677.000000000000000
26,53527,93097900.000000000000000,78177.000000000000000
27,53517,114711215.000000000000000,298.000000000000000
28,53536,244915321.000000000000000,1102058.000000000000000
29,53562,82487131.000000000000000,447332.000000000000000
30,53589,218233578.000000000000000,15831928.000000000000000
31,53560,152632988.000000000000000,2186910.000000000000000
32,53717,9443629.000000000000000,44281.000000000000000
33,53594,183089120.000000000000000,1519141.000000000000000
34,53578,127514763.000000000000000,2989353.000000000000000
35,53574,107164388.000000000000000,0.000000000000000
36,53597,134226160.000000000000000,876315.000000000000000
37,53718,51914482.000000000000000,66688.000000000000000
38,53719,26171357.000000000000000,244983.000000000000000
39,53705,17032642.000000000000000,63779.000000000000000
40,53508,179874316.000000000000000,1021905.000000000000000
41,53544,103654041.000000000000000,17224.000000000000000
42,53558,44967058.000000000000000,2552393.000000000000000
43,53716,17009334.000000000000000,160616.000000000000000
44,53713,27024535.000000000000000,2505684.000000000000000
45,53529,94770029.000000000000000,627416.000000000000000
46,53704,58052915.000000000000000,2069568.000000000000000
47,53531,109629389.000000000000000,186114.000000000000000
48,53516,215574605.000000000000000,55767.000000000000000
49,53714,11965148.000000000000000,67482.000000000000000
